epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,4243.34,0.33537,0.36973,0.94937,0.96044,0.96458,0.994,0.96425,0.26356,0.17253,0.8814,0.008086,0.008086,0.008086
60,4313.62,0.33063,0.36537,0.94344,0.95305,0.93491,0.98952,0.951,0.26127,0.18468,0.88084,0.008053,0.008053,0.008053
61,4384.19,0.33235,0.36186,0.94335,0.96517,0.94456,0.99208,0.96731,0.26319,0.1693,0.8828,0.00802,0.00802,0.00802
62,4455.37,0.32842,0.36334,0.94429,0.91744,0.95125,0.99136,0.95275,0.27667,0.19511,0.89455,0.007987,0.007987,0.007987
63,4525.7,0.32935,0.36547,0.94661,0.92026,0.96152,0.98765,0.9579,0.26614,0.1769,0.88665,0.007954,0.007954,0.007954
64,4596.26,0.32906,0.35779,0.94208,0.9692,0.95054,0.99117,0.95768,0.26603,0.16388,0.88621,0.007921,0.007921,0.007921
65,4666.41,0.32995,0.34836,0.94139,0.94322,0.97546,0.98772,0.95517,0.26554,0.17614,0.88509,0.007888,0.007888,0.007888
66,4736.74,0.3292,0.35211,0.94604,0.95374,0.961,0.97554,0.95323,0.26073,0.17922,0.88158,0.007855,0.007855,0.007855
67,4807.31,0.32619,0.34942,0.94223,0.96563,0.96394,0.99229,0.9593,0.26373,0.17022,0.88218,0.007822,0.007822,0.007822
68,4877.56,0.32793,0.35528,0.94717,0.92111,0.97011,0.99177,0.95355,0.27174,0.18774,0.88897,0.007789,0.007789,0.007789
69,4950.31,0.32277,0.3401,0.94063,0.96861,0.96705,0.98364,0.95711,0.25885,0.16482,0.87937,0.007756,0.007756,0.007756
70,4983.69,0.32164,0.33937,0.94102,0.98203,0.96606,0.99404,0.95601,0.25976,0.15666,0.88039,0.007723,0.007723,0.007723
71,5012.75,0.31723,0.34378,0.93786,0.9671,0.96273,0.99376,0.96182,0.25843,0.16086,0.87897,0.00769,0.00769,0.00769
72,5041.9,0.32481,0.34537,0.94322,0.92377,0.97247,0.98715,0.96231,0.25967,0.18057,0.87886,0.007657,0.007657,0.007657
73,5070.95,0.32205,0.34555,0.94365,0.95247,0.96879,0.99162,0.96374,0.25699,0.16736,0.87596,0.007624,0.007624,0.007624
74,5100.01,0.32231,0.34423,0.94414,0.9685,0.95259,0.99093,0.95848,0.27149,0.17676,0.88912,0.007591,0.007591,0.007591
75,5129.16,0.32023,0.34447,0.94112,0.9675,0.96995,0.98693,0.95877,0.25706,0.16147,0.87852,0.007558,0.007558,0.007558
76,5158.28,0.31834,0.33533,0.93904,0.92987,0.97587,0.9917,0.95778,0.26517,0.17956,0.88475,0.007525,0.007525,0.007525
77,5187.27,0.32118,0.3503,0.94138,0.97853,0.96585,0.99188,0.95942,0.26357,0.16254,0.88394,0.007492,0.007492,0.007492
78,5217.32,0.31971,0.3337,0.94046,0.94402,0.96146,0.99102,0.96568,0.2643,0.16373,0.88418,0.007459,0.007459,0.007459
79,5246.48,0.31635,0.33107,0.93794,0.95506,0.97623,0.98903,0.9648,0.25361,0.15566,0.87492,0.007426,0.007426,0.007426
80,5275.62,0.31662,0.33036,0.93806,0.96638,0.96541,0.99296,0.96592,0.26444,0.16596,0.88486,0.007393,0.007393,0.007393
81,5304.81,0.31611,0.32446,0.93833,0.98271,0.98213,0.99228,0.96307,0.25625,0.1503,0.87644,0.00736,0.00736,0.00736
