epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3653.36,0.35,1.15127,0.95523,0.83666,0.93898,0.92019,0.86752,0.35211,0.62697,0.95047,0.007987,0.007987,0.007987
63,3713.36,0.34585,1.14103,0.95229,0.80788,0.86312,0.89745,0.85615,0.34412,0.68801,0.94146,0.007954,0.007954,0.007954
64,3774.41,0.34339,1.15719,0.95334,0.84949,0.8626,0.9151,0.86117,0.36379,0.71457,0.96324,0.007921,0.007921,0.007921
65,3834.11,0.34675,1.14377,0.95464,0.86263,0.88429,0.92458,0.88475,0.33281,0.69603,0.92947,0.007888,0.007888,0.007888
66,3891.8,0.3443,1.12918,0.95272,0.83447,0.89138,0.91257,0.8688,0.33628,0.66143,0.93494,0.007855,0.007855,0.007855
67,3951.17,0.34644,1.1459,0.95258,0.83962,0.87947,0.92427,0.87576,0.34027,0.67918,0.94332,0.007822,0.007822,0.007822
68,4008.91,0.34257,1.14343,0.95005,0.84009,0.90106,0.92961,0.88367,0.33581,0.63682,0.93231,0.007789,0.007789,0.007789
69,4066.51,0.3483,1.13395,0.95299,0.85363,0.90533,0.94015,0.89015,0.3402,0.62209,0.93926,0.007756,0.007756,0.007756
70,4126.32,0.34121,1.12382,0.95156,0.83013,0.92278,0.94244,0.8944,0.34692,0.62264,0.9432,0.007723,0.007723,0.007723
71,4185.47,0.3459,1.15898,0.95481,0.83651,0.85231,0.90785,0.86314,0.34375,0.66281,0.94057,0.00769,0.00769,0.00769
72,4243.84,0.3414,1.13719,0.94839,0.85044,0.84106,0.92875,0.88268,0.34231,0.6724,0.94861,0.007657,0.007657,0.007657
73,4304.82,0.34372,1.1217,0.95432,0.84918,0.86572,0.92785,0.88384,0.33287,0.68099,0.93045,0.007624,0.007624,0.007624
74,4365.38,0.33663,1.11753,0.94619,0.85998,0.87202,0.93918,0.89251,0.34044,0.64744,0.94162,0.007591,0.007591,0.007591
75,4424.63,0.33282,1.11243,0.94748,0.88502,0.85622,0.94342,0.89644,0.33686,0.62534,0.93326,0.007558,0.007558,0.007558
76,4484.86,0.33703,1.1233,0.9498,0.84172,0.90504,0.95445,0.90809,0.33471,0.63379,0.93453,0.007525,0.007525,0.007525
